severity,origin,package,installed_version,vulnerability_id,scanner_fixed_version,scanner_status,package_path,outcome
HIGH,Corepack pnpm 9.15.0,brace-expansion,2.0.1,CVE-2026-13149,"5.0.7, 1.1.16, 2.1.2",fixed,root/.cache/node/corepack/v1/pnpm/9.15.0/dist/node_modules/brace-expansion/package.json,fixed in final installed builder
HIGH,Corepack pnpm 9.15.0,brace-expansion,2.0.1,CVE-2026-14257,"5.0.8, 3.0.3, 2.1.3, 1.1.17",fixed,root/.cache/node/corepack/v1/pnpm/9.15.0/dist/node_modules/brace-expansion/package.json,remaining in pnpm 10.34.5 bundle
HIGH,Corepack pnpm 9.15.0,brace-expansion,2.0.1,CVE-2026-69152,"1.1.18, 2.1.4, 3.0.6, 5.0.9",fixed,root/.cache/node/corepack/v1/pnpm/9.15.0/dist/node_modules/brace-expansion/package.json,remaining in pnpm 10.34.5 bundle
HIGH,bundled npm 10.9.8,brace-expansion,2.0.2,CVE-2026-13149,"5.0.7, 1.1.16, 2.1.2",fixed,usr/local/lib/node_modules/npm/node_modules/brace-expansion/package.json,fixed in final installed builder
HIGH,bundled npm 10.9.8,brace-expansion,2.0.2,CVE-2026-14257,"5.0.8, 3.0.3, 2.1.3, 1.1.17",fixed,usr/local/lib/node_modules/npm/node_modules/brace-expansion/package.json,fixed in final installed builder
HIGH,bundled npm 10.9.8,brace-expansion,2.0.2,CVE-2026-69152,"1.1.18, 2.1.4, 3.0.6, 5.0.9",fixed,usr/local/lib/node_modules/npm/node_modules/brace-expansion/package.json,fixed in final installed builder
HIGH,Corepack pnpm 9.15.0,cross-spawn,7.0.3,CVE-2024-21538,"7.0.5, 6.0.6",fixed,root/.cache/node/corepack/v1/pnpm/9.15.0/dist/node_modules/cross-spawn/package.json,fixed in final installed builder
HIGH,Corepack pnpm 9.15.0,glob,10.4.5,CVE-2025-64756,"11.1.0, 10.5.0",fixed,root/.cache/node/corepack/v1/pnpm/9.15.0/dist/node_modules/glob/package.json,fixed in final installed builder
HIGH,bundled npm 10.9.8,ip-address,10.1.0,CVE-2026-69192,10.3.1,fixed,usr/local/lib/node_modules/npm/node_modules/ip-address/package.json,fixed in final installed builder
HIGH,Corepack pnpm 9.15.0,ip-address,9.0.5,CVE-2026-69192,10.3.1,fixed,root/.cache/node/corepack/v1/pnpm/9.15.0/dist/node_modules/ip-address/package.json,remaining in pnpm 10.34.5 bundle
