severity,origin,package,installed_version,vulnerability_id,scanner_fixed_version,scanner_status,package_path
HIGH,Corepack pnpm 10.34.5,brace-expansion,2.1.2,CVE-2026-14257,"5.0.8, 3.0.3, 2.1.3, 1.1.17",fixed,root/.cache/node/corepack/v1/pnpm/10.34.5/dist/node_modules/brace-expansion/package.json
HIGH,Corepack pnpm 10.34.5,brace-expansion,2.1.2,CVE-2026-69152,"1.1.18, 2.1.4, 3.0.6, 5.0.9",fixed,root/.cache/node/corepack/v1/pnpm/10.34.5/dist/node_modules/brace-expansion/package.json
HIGH,Corepack pnpm 10.34.5,ip-address,10.2.0,CVE-2026-69192,10.3.1,fixed,root/.cache/node/corepack/v1/pnpm/10.34.5/dist/node_modules/ip-address/package.json
HIGH,Corepack pnpm 10.34.5,tar,7.5.19,CVE-2026-73566,7.5.21,fixed,root/.cache/node/corepack/v1/pnpm/10.34.5/dist/node_modules/tar/package.json
LOW,Vite esbuild 0.27.4,esbuild,0.27.4,GHSA-g7r4-m6w7-qqqr,0.28.1,fixed,workspace/node_modules/.pnpm/esbuild@0.27.4/node_modules/esbuild/package.json
MEDIUM,Corepack pnpm 10.34.5,ip-address,10.2.0,CVE-2026-54272,10.2.1,fixed,root/.cache/node/corepack/v1/pnpm/10.34.5/dist/node_modules/ip-address/package.json
MEDIUM,Corepack pnpm 10.34.5,ip-address,10.2.0,CVE-2026-69198,10.2.2,fixed,root/.cache/node/corepack/v1/pnpm/10.34.5/dist/node_modules/ip-address/package.json
