severity,origin,package,installed_version,vulnerability_id,scanner_fixed_version,scanner_status,package_path
HIGH,Corepack pnpm 9.15.0,pnpm,9.15.0,CVE-2026-82393,"10.34.5, 11.11.0",fixed,root/.cache/node/corepack/v1/pnpm/9.15.0/package.json
HIGH,Corepack pnpm 9.15.0,pnpm,9.15.0,GHSA-72r4-9c5j-mj57,"10.34.4, 11.7.0",fixed,root/.cache/node/corepack/v1/pnpm/9.15.0/package.json
HIGH,Corepack pnpm 9.15.0,pnpm,9.15.0,GHSA-fr4h-3cph-29xv,"10.34.4, 11.7.0",fixed,root/.cache/node/corepack/v1/pnpm/9.15.0/package.json
HIGH,Corepack pnpm 9.15.0,pnpm,9.15.0,GHSA-qrv3-253h-g69c,"10.34.4, 11.8.0",fixed,root/.cache/node/corepack/v1/pnpm/9.15.0/package.json
MEDIUM,Corepack pnpm 9.15.0,pnpm,9.15.0,CVE-2024-47829,10.0.0,fixed,root/.cache/node/corepack/v1/pnpm/9.15.0/package.json
MEDIUM,Corepack pnpm 9.15.0,pnpm,9.15.0,CVE-2026-23888,10.28.1,fixed,root/.cache/node/corepack/v1/pnpm/9.15.0/package.json
MEDIUM,Corepack pnpm 9.15.0,pnpm,9.15.0,CVE-2026-23889,10.28.1,fixed,root/.cache/node/corepack/v1/pnpm/9.15.0/package.json
MEDIUM,Corepack pnpm 9.15.0,pnpm,9.15.0,CVE-2026-23890,10.28.1,fixed,root/.cache/node/corepack/v1/pnpm/9.15.0/package.json
MEDIUM,Corepack pnpm 9.15.0,pnpm,9.15.0,CVE-2026-24056,10.28.2,fixed,root/.cache/node/corepack/v1/pnpm/9.15.0/package.json
MEDIUM,Corepack pnpm 9.15.0,pnpm,9.15.0,CVE-2026-24131,10.28.2,fixed,root/.cache/node/corepack/v1/pnpm/9.15.0/package.json
MEDIUM,Corepack pnpm 9.15.0,pnpm,9.15.0,CVE-2026-48995,"10.33.4, 11.0.7",fixed,root/.cache/node/corepack/v1/pnpm/9.15.0/package.json
MEDIUM,Corepack pnpm 9.15.0,pnpm,9.15.0,CVE-2026-50014,"10.34.0, 11.4.0",fixed,root/.cache/node/corepack/v1/pnpm/9.15.0/package.json
MEDIUM,Corepack pnpm 9.15.0,pnpm,9.15.0,CVE-2026-50017,"10.34.0, 11.4.0",fixed,root/.cache/node/corepack/v1/pnpm/9.15.0/package.json
MEDIUM,Corepack pnpm 9.15.0,pnpm,9.15.0,CVE-2026-50021,"11.4.0, 10.34.1",fixed,root/.cache/node/corepack/v1/pnpm/9.15.0/package.json
MEDIUM,Corepack pnpm 9.15.0,pnpm,9.15.0,CVE-2026-50573,"10.34.0, 11.4.0",fixed,root/.cache/node/corepack/v1/pnpm/9.15.0/package.json
MEDIUM,Corepack pnpm 9.15.0,pnpm,9.15.0,CVE-2026-55180,"10.34.2, 11.5.3",fixed,root/.cache/node/corepack/v1/pnpm/9.15.0/package.json
MEDIUM,Corepack pnpm 9.15.0,pnpm,9.15.0,CVE-2026-55699,"10.34.2, 11.5.3",fixed,root/.cache/node/corepack/v1/pnpm/9.15.0/package.json
LOW,bundled npm 10.9.8,postcss-selector-parser,7.1.1,CVE-2026-9358,"6.1.3, 7.1.3",fixed,usr/local/lib/node_modules/npm/node_modules/postcss-selector-parser/package.json
HIGH,bundled npm 10.9.8,sigstore,3.1.0,CVE-2026-48815,4.1.1,fixed,usr/local/lib/node_modules/npm/node_modules/sigstore/package.json
CRITICAL,Corepack pnpm 9.15.0,tar,6.2.1,CVE-2026-59873,7.5.19,fixed,root/.cache/node/corepack/v1/pnpm/9.15.0/dist/node_modules/tar/package.json
HIGH,Corepack pnpm 9.15.0,tar,6.2.1,CVE-2026-23745,7.5.3,fixed,root/.cache/node/corepack/v1/pnpm/9.15.0/dist/node_modules/tar/package.json
HIGH,Corepack pnpm 9.15.0,tar,6.2.1,CVE-2026-23950,7.5.4,fixed,root/.cache/node/corepack/v1/pnpm/9.15.0/dist/node_modules/tar/package.json
HIGH,Corepack pnpm 9.15.0,tar,6.2.1,CVE-2026-24842,7.5.7,fixed,root/.cache/node/corepack/v1/pnpm/9.15.0/dist/node_modules/tar/package.json
