OTOPARK_ADI,ILCE,MAHALLE,ADRES_VEYA_TARIF,ACILIS_SAATI,KAPANIS_SAATI,KAPASITE,ENLEM,BOYLAM
"LİMAN -3","KONAK","ALSANCAK","1. KORDON' DA  (ATATÜRK CADDESİ ÜZERİNDE) ENVER DÜNDAR BAŞAK SK. İLE 1453 SK ARASINDA KALAN CEP KISMINDA","07:00","22:00","36","38.4380630451489","27.1413896844942"
"ALMAN KONSOLOSLUĞU","KONAK","ALSANCAK","1. KORDON'DA  (ATATÜRK CADDESİ ÜZERİNDE) CUMBALI SK. İLE GÜNDOĞDU MEYDANI ARASINDAKİ  CEP KISMINDA","07:00","22:00","14","38.4357868084637","27.1403562004434"
"NATO","KONAK","KÜLTÜR","1. KORDON' DA  (ATATÜRK CADDESİ ÜZERİNDE) BEDİA MUVAHHİT SK. İLE DR. MUSTAFA ENVER BEY CD. ARASINDA","07:00","22:00","35","38.4337521161931","27.1379827093547"
"İZMİR TİCARET ODASI","KONAK","KÜLTÜR","1. KORDON' DA (ATATÜRK CADDESİ ÜZERİNDE) 1382 SK. İLE V.ÇINAR BULV. ARASINDAKİ  CEP KISMINDA","07:00","22:00","48","38.4320112928639","27.1363013089687"
"İZMİR SİNEMASI","KONAK","KÜLTÜR","1. KORDON (ATATÜRK CADDESİ ÜZERİNDE) V.ÇINAR BULV İLE MUSTAFA MÜNİR BİRSEL SK.  ARASINDAKİ  CEP KISMINDA","07:00","22:00","19","38.4308333533567","27.1352583264584"
"REKTÖRLÜK - 1 (CUMHURİYET  BULV. ÜZERİNDE)","KONAK","KÜLTÜR","CUMHURİYET BULVARININ; CUMHURİYET MEYDANI İLE TALATPAŞA BULVARI KESİŞİMİ ARASINDA KALAN ORTA REFÜJ KISMINDAKİ OTOPARK CEPLERİNDE","07:00","22:00","34","38.4308292020347","27.1361778802053"
"REKTÖRLÜK - 2 (CUMHURİYET  BULV. ÜZERİNDE)","KONAK","KÜLTÜR","CUMHURİYET BULVARININ; CUMHURİYET MEYDANI İLE TALATPAŞA BULVARI KESİŞİMİ ARASINDA KALAN ORTA REFÜJ KISMINDAKİ OTOPARK CEPLERİNDE","07:00","22:00","25","38.4318912797016","27.1372493544405"
"ŞAİR EŞREF BULVARI","KONAK","KÜLTÜR","ŞAİR EŞREF BULVARININ; ALİ ÇETİNKAYA BULVARI İLE VAHAP ÖZALTAY MEYDANI ARASINDAKİ ORTA REFÜJ ÜZERİNDEKİ OTOPARK CEPLERİNDE","07:00","21:00","55","38.4360331237009","27.1468997480944"
"ŞAİR EŞREF BULVARI - 1","KONAK","İSMET KAPTAN","ŞEHİT NEVRES BULVARI ÜZERİNDE; SEZER DOĞAN SK. İLE ŞEVKET ÖZÇELİK SK. ARASINDA KALAN KISMINDAKİ CEP OTOPARKI","07:00","21:00","37","38.4282151868521","27.139218944907"
"ŞAİR EŞREF BULVARI - 2","KONAK","İSMET KAPTAN","ŞEHİT NEVRES BULVARI ÜZERİNDE; ŞEVKET ÖZÇELİK SK. İLE CUMHURİYET BULV. ARASINDA KALAN KISMINDAKİ OTOPARK CEBİ","07:00","21:00","21","38.428396411111","27.1376422876262"
"TEKEL - 1","KONAK","MİMAR SİNAN","(1420 SK. ÜZERİNDE ESKİ TEKEL BİNALARI YANI) 1420 SOKAĞIN; ALİ ÇETİNKAYA BULVARI  İLE 1486 SOKAK KESİŞİMİ ARASINDA KALAN KISMINDA","07:00","21:00","38","38.4336225549944","27.1493459822017"
"TEKEL - 2","KONAK","MİMAR SİNAN","(1420 SK. ÜZERİNDE ESKİ TEKEL BİNALARI YANI) 1420 SOKAĞIN; 1486 SK.  İLE 1434 SOKAK KESİŞİMİ ARASINDA KALAN KISMINDA","07:00","21:00","34","38.4346598091687","27.1490382803063"
